2026-04-11T12:10:17.465-04:00 [gateway] loading configuration…
2026-04-11T12:10:17.546-04:00 [gateway] resolving authentication…
2026-04-11T12:10:17.616-04:00 [gateway] starting...
2026-04-11T12:10:18.755-04:00 [gateway] starting HTTP server...
2026-04-11T12:10:18.778-04:00 [canvas] host mounted at http://127.0.0.1:18789/__openclaw__/canvas/ (root C:\Users\dal_n\.openclaw\canvas)
2026-04-11T12:10:18.850-04:00 [gateway] MCP loopback server listening on http://127.0.0.1:53097/mcp
2026-04-11T12:10:19.672-04:00 [heartbeat] started
2026-04-11T12:10:19.681-04:00 [health-monitor] started (interval: 300s, startup-grace: 60s, channel-connect-grace: 120s)
2026-04-11T12:35:04.209-04:00 [ws] ⇄ res ✓ config.get 188ms conn=ae67026c…628c id=f6aaf246…1ead
2026-04-11T12:35:25.902-04:00 [ws] ⇄ res ✓ config.get 162ms conn=ae67026c…628c id=a6b54a2e…4b1e
2026-04-11T12:35:38.486-04:00 [ws] ⇄ res ✓ node.list 349ms conn=ae67026c…628c id=7a4a8c39…1b42
2026-04-11T12:36:48.818-04:00 [ws] ⇄ res ✓ config.schema 52ms conn=ae67026c…628c id=90e35ff2…36fd
2026-04-11T12:36:49.239-04:00 [ws] ⇄ res ✓ config.get 108ms conn=ae67026c…628c id=bf18df5c…9274
2026-04-11T12:40:03.373-04:00 [ws] ⇄ res ✓ node.list 215ms conn=ae67026c…628c id=99ffdebf…4ffa
2026-04-11T12:40:24.564-04:00 [ws] ⇄ res ✓ node.list 74ms conn=ae67026c…628c id=f53afca4…470b
2026-04-11T12:48:33.622-04:00 [ws] ⇄ res ✓ node.list 116ms conn=ae67026c…628c id=8486eda2…d52a
2026-04-11T12:51:09.985-04:00 [ws] ⇄ res ✓ chat.history 276ms conn=ae67026c…628c id=e8a19b1e…37c0
2026-04-11T12:51:10.117-04:00 [ws] ⇄ res ✓ sessions.list 115ms conn=ae67026c…628c id=a995ba33…079c
2026-04-11T12:51:56.192-04:00 [ws] ⇄ res ✓ chat.send 192ms runId=306f47f1-2470-40e2-a2af-4a5051da0938 conn=ae67026c…628c id=9ae945e8…78d4
2026-04-11T12:51:58.819-04:00 [ws] ⇄ res ✓ node.list 123ms conn=ae67026c…628c id=9db19cd3…582d
2026-04-11T12:52:39.378-04:00 [ws] ⇄ res ✓ sessions.list 126ms conn=ae67026c…628c id=c369e166…abf1
2026-04-11T12:53:22.934-04:00 [ws] ⇄ res ✓ sessions.list 53ms conn=ae67026c…628c id=13dc0baf…d3f1
2026-04-11T12:54:12.721-04:00 [ws] ⇄ res ✓ sessions.list 92ms conn=ae67026c…628c id=9fe761c1…4727
2026-04-11T12:55:21.436-04:00 [ws] ⇄ res ✓ sessions.list 50ms conn=ae67026c…628c id=f7c3d030…dead
2026-04-11T12:56:12.435-04:00 [ws] ⇄ res ✓ sessions.list 54ms conn=ae67026c…628c id=13068b90…c838
2026-04-11T12:59:02.164-04:00 [ws] ⇄ res ✓ channels.status 138ms conn=ae67026c…628c id=7ca23387…2c9f
2026-04-11T12:59:02.334-04:00 [ws] ⇄ res ✓ system-presence 153ms conn=ae67026c…628c id=4d4ecc14…9dcf
2026-04-11T12:59:03.439-04:00 [ws] ⇄ res ✓ skills.status 1033ms conn=ae67026c…628c id=1cf80005…9fa3
2026-04-11T12:59:03.512-04:00 [ws] ⇄ res ✓ models.list 1122ms conn=ae67026c…628c id=67b9afb6…8c84
2026-04-11T12:59:03.530-04:00 [ws] ⇄ res ✓ cron.status 1158ms conn=ae67026c…628c id=2a4d45d3…4718
2026-04-11T12:59:03.563-04:00 [ws] ⇄ res ✓ status 1183ms conn=ae67026c…628c id=cd99608a…2135
2026-04-11T12:59:03.570-04:00 [ws] ⇄ res ✓ cron.list 1195ms conn=ae67026c…628c id=36b16846…bba2
2026-04-11T12:59:03.639-04:00 [ws] ⇄ res ✓ node.list 63ms conn=ae67026c…628c id=d7ce3589…ff06
2026-04-11T12:59:03.815-04:00 [ws] ⇄ res ✓ sessions.usage 370ms conn=ae67026c…628c id=0f572afe…7fcb
2026-04-11T12:59:03.828-04:00 [ws] ⇄ res ✓ logs.tail 331ms conn=ae67026c…628c id=1e2bce1d…b0ea
2026-04-11T12:59:07.055-04:00 [ws] ⇄ res ✓ config.schema 500ms conn=ae67026c…628c id=f5f056ed…1f58
2026-04-11T12:59:07.462-04:00 [ws] ⇄ res ✓ config.get 403ms conn=ae67026c…628c id=9f28b4cb…bfa4
2026-04-11T12:59:12.341-04:00 [ws] ⇄ res ✓ sessions.usage 64ms conn=ae67026c…628c id=7146892a…6cef
2026-04-11T12:59:15.695-04:00 [ws] ⇄ res ✓ config.get 70ms conn=ae67026c…628c id=d02f6c46…9470
2026-04-11T12:59:22.322-04:00 [ws] ⇄ res ✓ skills.status 534ms conn=ae67026c…628c id=b09e47c8…73bf
2026-04-11T12:59:25.895-04:00 [ws] ⇄ res ✓ config.get 100ms conn=ae67026c…628c id=00a70513…732f
2026-04-11T12:59:27.388-04:00 [ws] ⇄ res ✓ config.get 82ms conn=ae67026c…628c id=7be5e91e…afe6
2026-04-11T12:59:29.685-04:00 [ws] ⇄ res ✓ config.get 83ms conn=ae67026c…628c id=bea08c55…aab3
2026-04-11T12:59:36.313-04:00 [ws] ⇄ res ✓ config.get 110ms conn=ae67026c…628c id=3174bdb7…cca5
2026-04-11T12:59:40.986-04:00 [ws] ⇄ res ✓ config.get 154ms conn=ae67026c…628c id=de5b9d35…5908
2026-04-11T12:59:47.777-04:00 [ws] ⇄ res ✓ config.get 82ms conn=ae67026c…628c id=240ae9f2…0881
2026-04-11T12:59:49.524-04:00 [ws] ⇄ res ✓ config.get 68ms conn=ae67026c…628c id=791a23d2…86ef
2026-04-11T12:59:51.090-04:00 [ws] ⇄ res ✓ config.get 65ms conn=ae67026c…628c id=c2eb2dec…b90e
2026-04-11T12:59:52.789-04:00 [ws] ⇄ res ✓ config.get 77ms conn=ae67026c…628c id=83fb7060…0332
2026-04-11T12:59:59.507-04:00 [ws] ⇄ res ✓ config.get 64ms conn=ae67026c…628c id=77f5293a…133b
2026-04-11T13:00:08.003-04:00 [ws] ⇄ res ✓ config.get 57ms conn=ae67026c…628c id=8fd485e6…202e
2026-04-11T13:00:17.323-04:00 [ws] ⇄ res ✓ skills.status 794ms conn=ae67026c…628c id=b8570701…2f23
2026-04-11T13:00:17.344-04:00 [ws] ⇄ res ✓ models.list 822ms conn=ae67026c…628c id=82937a44…688d
2026-04-11T13:00:17.352-04:00 [ws] ⇄ res ✓ cron.status 832ms conn=ae67026c…628c id=2429f51c…0f6d
2026-04-11T13:00:17.359-04:00 [ws] ⇄ res ✓ status 841ms conn=ae67026c…628c id=765a2d02…4823
2026-04-11T13:00:17.367-04:00 [ws] ⇄ res ✓ cron.list 847ms conn=ae67026c…628c id=07352383…0e89
2026-04-11T13:00:17.426-04:00 [ws] ⇄ res ✓ logs.tail 94ms conn=ae67026c…628c id=96c6dc9d…6942
2026-04-11T13:00:17.435-04:00 [ws] ⇄ res ✓ sessions.usage 105ms conn=ae67026c…628c id=5c35a3ec…7e46
2026-04-11T13:00:20.624-04:00 [ws] ⇄ res ✓ config.get 95ms conn=ae67026c…628c id=32003263…133e
2026-04-11T13:00:43.338-04:00 [ws] ⇄ res ✓ config.get 79ms conn=ae67026c…628c id=07344c85…4088
2026-04-11T13:02:06.513-04:00 [ws] ⇄ res ✓ skills.status 509ms conn=ae67026c…628c id=f2f6f542…63ea
2026-04-11T13:03:16.193-04:00 [ws] ⇄ res ✓ sessions.list 240ms conn=ae67026c…628c id=815c92f8…c280
2026-04-11T13:03:38.548-04:00 [ws] ⇄ res ✓ node.list 363ms conn=ae67026c…628c id=1295a495…c813
2026-04-11T13:05:32.800-04:00 [ws] ⇄ res ✓ agents.list 174ms conn=ae67026c…628c id=03ab57a6…917f
2026-04-11T13:05:34.281-04:00 [ws] ⇄ res ✓ config.get 1397ms conn=ae67026c…628c id=3e0d3438…2e26
2026-04-11T13:05:58.833-04:00 [ws] ⇄ res ✓ node.list 64ms conn=ae67026c…628c id=a86f9b5c…2c58
2026-04-11T13:07:21.332-04:00 [ws] ⇄ res ✓ config.set 9389ms conn=ae67026c…628c id=2a81bd07…92f8
2026-04-11T13:07:24.664-04:00 [reload] config change detected; evaluating reload (agents.list)
2026-04-11T13:07:25.151-04:00 [reload] config hot reload applied (agents.list)
2026-04-11T13:07:26.052-04:00 [ws] ⇄ res ✓ skills.status 852ms conn=ae67026c…628c id=b9f38932…877e
2026-04-11T13:07:26.160-04:00 [ws] ⇄ res ✓ node.list 955ms conn=ae67026c…628c id=e0898aca…0e3c
2026-04-11T13:07:26.471-04:00 [ws] ⇄ res ✓ config.get 1281ms conn=ae67026c…628c id=c1af05b2…d8e2
2026-04-11T13:08:24.714-04:00 [ws] ⇄ res ✓ skills.status 656ms conn=ae67026c…628c id=e2393cd9…1855
2026-04-11T13:08:26.534-04:00 [ws] ⇄ res ✓ skills.status 513ms conn=ae67026c…628c id=a7d1abc3…b4df
2026-04-11T13:08:38.888-04:00 [ws] ⇄ res ✓ skills.status 628ms conn=ae67026c…628c id=aadbbde3…9d5a
2026-04-11T13:08:57.130-04:00 [ws] ⇄ res ✓ config.get 416ms conn=ae67026c…628c id=eb2c5516…e4ff
2026-04-11T13:08:58.381-04:00 [ws] ⇄ res ✓ node.list 201ms conn=ae67026c…628c id=f68e79c2…6ff9
2026-04-11T13:10:20.063-04:00 [ws] ⇄ res ✓ config.get 211ms conn=ae67026c…628c id=0203639c…0e47
2026-04-11T13:10:20.135-04:00 [ws] ⇄ res ✓ doctor.memory.status 66ms conn=ae67026c…628c id=9d4eff52…1463
2026-04-11T13:10:23.022-04:00 [ws] ⇄ res ✓ node.list 71ms conn=ae67026c…628c id=fe4ed47a…53fe
2026-04-11T13:10:23.265-04:00 [ws] ⇄ res ✓ node.list 110ms conn=ae67026c…628c id=01b453da…12f9
2026-04-11T13:10:23.310-04:00 [ws] ⇄ res ✓ config.get 210ms conn=ae67026c…628c id=8aa7423a…31b7
2026-04-11T13:10:42.935-04:00 [ws] ⇄ res ✓ config.schema 217ms conn=ae67026c…628c id=f62e5045…7c26
2026-04-11T13:10:43.076-04:00 [ws] ⇄ res ✓ config.get 73ms conn=ae67026c…628c id=938b5113…485e
2026-04-11T13:11:15.424-04:00 [ws] ⇄ res ✓ sessions.list 99ms conn=ae67026c…628c id=38c41329…bbda
2026-04-11T13:12:36.945-04:00 [ws] ⇄ res ✓ status 73ms conn=ae67026c…628c id=aae0a5cc…7b71
2026-04-11T13:12:37.062-04:00 [ws] ⇄ res ✓ models.list 52ms conn=ae67026c…628c id=818c7a9f…e867
2026-04-11T13:12:40.503-04:00 [ws] ⇄ res ✓ logs.tail 69ms conn=ae67026c…628c id=03e8f69b…66d6
2026-04-11T13:12:51.783-04:00 [ws] ⇄ res ✓ logs.tail 65ms conn=ae67026c…628c id=282ebd7f…3eb8
2026-04-11T13:12:56.562-04:00 [ws] ⇄ res ✓ config.get 460ms conn=ae67026c…628c id=0295b087…d413
2026-04-11T13:14:22.447-04:00 [ws] ⇄ res ✓ sessions.list 52ms conn=ae67026c…628c id=3eab2753…19f3
2026-04-11T13:14:38.255-04:00 [ws] ⇄ res ✓ node.list 91ms conn=ae67026c…628c id=f780ab45…b62f
2026-04-11T13:35:25.600-04:00 [ws] ⇄ res ✓ node.list 789ms conn=ae67026c…628c id=59ecc39c…c54b
2026-04-11T13:39:20.323-04:00 [reload] config change detected; evaluating reload (meta.lastTouchedAt, models.providers.custom-i24d-whatsapp-ai-onrender-com.baseUrl)
2026-04-11T13:39:21.002-04:00 [reload] config hot reload applied (models.providers.custom-i24d-whatsapp-ai-onrender-com.baseUrl)
2026-04-11T13:40:04.235-04:00 [ws] ⇄ res ✓ node.list 88ms conn=ae67026c…628c id=3cb751c6…467d
2026-04-11T13:41:05.942-04:00 [ws] ⇄ res ✓ sessions.list 112ms conn=ae67026c…628c id=e5fdf82e…ee6b
2026-04-11T13:41:24.027-04:00 [ws] ⇄ res ✓ node.list 186ms conn=ae67026c…628c id=87b11c0b…8a51
2026-04-11T13:45:21.969-04:00 [ws] ⇄ res ✓ channels.status 177ms conn=ae67026c…628c id=f72e8c57…4493
2026-04-11T13:45:22.529-04:00 [ws] ⇄ res ✓ config.schema 547ms conn=ae67026c…628c id=337e0d4a…cd3e
